sample_id,read1,read2
32,/mnt/ssd0/Fusarium-WGS/32/clean_data/170516_I137_FCHGW25BBXX_L7_wHAXPI050205-81_1.fq.gz,/mnt/ssd0/Fusarium-WGS/32/clean_data/170516_I137_FCHGW25BBXX_L7_wHAXPI050205-81_2.fq.gz
33,/mnt/ssd0/Fusarium-WGS/33/clean_data/170516_I137_FCHGW25BBXX_L7_wHAXPI050206-83_1.fq.gz,/mnt/ssd0/Fusarium-WGS/33/clean_data/170516_I137_FCHGW25BBXX_L7_wHAXPI050206-83_2.fq.gz
