sample_id,read1,read2
37,/mnt/ssd0/Fusarium-WGS/37/clean_data/170516_I137_FCHGW25BBXX_L7_wHAXPI050210-88_1.fq.gz,/mnt/ssd0/Fusarium-WGS/37/clean_data/170516_I137_FCHGW25BBXX_L7_wHAXPI050210-88_2.fq.gz
38,/mnt/ssd0/Fusarium-WGS/38/clean_data/170516_I137_FCHGW25BBXX_L7_wHAXPI050211-90_1.fq.gz,/mnt/ssd0/Fusarium-WGS/38/clean_data/170516_I137_FCHGW25BBXX_L7_wHAXPI050211-90_2.fq.gz

